Data Source,World Development Indicators,,,,,,,,,,,
Indicator,School Enrollment In Secondary (% net),,,,,,,,,,,
Last Updated Date,7/25/18,,,,,,,,,,,
Number of Countries,15,,,,,,,,,,,
Country Name,1500,1501,1502,1503,1504,1505,1506,1507,1508,1509,1510,1511,1512,1513,1514,1515,1516,1517
United States,,31.312701724608672,67.44140014930203,64.6998927477094,,93.6884965382512,39.61670396418045,43.944582309532464,67.2138432999044,71.76776083222407,79.80180379022008,38.303688141440006,94.06806424337695,,86.75048930390707,,83.015591528938,
Canada,96.52465232557894,93.41640356975003,29.128574415859788,97.25593595356911,,91.01228543667827,56.88423228581626,39.68680222767925,49.30399109125771,,98.85108964939005,43.21671581714648,,,,41.803034037888885,51.07221879445435,
Mexico,70.00741406230365,56.53103596282148,73.45108295494666,,48.003676366333124,86.8427239615581,59.99553829340712,96.03266401739377,34.56020160012865,56.8713025515715,,55.097326607716944,71.47937679525751,33.36389920063007,29.852488606566794,,46.54200429405093,64.58520233115796
Brazil,74.2775199247629,78.64539890066096,54.95255195244039,50.62989724319791,,27.03052678230159,26.27444006669608,44.73189323926181,87.91613823758547,67.06050070359831,,,30.620505425247067,79.20705126361177,,40.96805527260485,56.61094226726865,55.505039004920384
Great Britain,71.0703568244907,44.46391879986891,,41.86659260833804,26.543460268760878,52.799424136589366,92.58616054448144,88.09032297824268,84.86942019197778,,39.867108747927695,,32.71464387521886,34.71341864158938,93.63467219755861,83.77097281233405,28.863814941930045,
Germany,72.79388714536911,83.57062187629643,,,,82.42122149039534,49.66800628630712,68.9323503975803,26.083696897027085,,94.62421297374982,,,55.85871722519114,32.4806506130823,71.92842598967977,84.10772795354524,
China,76.58536905467771,,88.50299861063587,93.58146890173865,90.03581536835758,89.11628257926368,86.54263636722474,95.07167059507167,75.93789803876311,,79.21036956777961,97.98355191981192,,93.94455754940101,,,29.922079664548406,
India,35.42745864173893,48.81518773070147,53.348279153514035,,97.59327059046922,27.009525310301473,62.29669436721923,26.78890342142096,,,52.682192395006865,71.56422816738367,47.56415739780767,45.7733056283339,,,41.50797241458238,70.1449600997097
South Africa,,55.345478299540275,,36.14798869415288,,97.0908851856168,99.0819683167665,,39.7498455200869,26.113688303489656,81.7332569595443,78.53705551139463,60.67012554288842,,38.307231006502576,42.07508593430321,40.524771988966954,60.54181191692592
Russia,98.63741185636455,,,54.74059856755892,79.91393198608822,66.55284121715542,84.41364943983663,,63.362054984527404,89.9123150481761,56.60018487743842,,,85.93545310627462,46.08149686116685,37.05202443512474,38.59744994068033,
Mongolia,49.512022504674235,,,43.65819482963853,65.42948684900558,95.2039697307001,40.454202472634336,42.05588120849703,59.88954305831289,64.41173672922088,51.46290558755997,90.86602622635213,38.07202815413234,63.30215168660147,54.283663951544526,70.48668858954434,63.12165543111553,37.3053203109207
Chile,,88.5262803742837,45.614881408477345,80.21456592898923,88.05328329117727,,,41.45001074538395,,51.44197569311045,51.12491168605634,63.04028519801129,94.9174898284923,,,74.62129514283653,68.51330794976522,68.93136793480018
France,,60.7861556168865,,37.30315629339841,,29.280568002065532,72.19556168295496,61.939425391425694,72.9046447769114,50.823037289811246,64.40159324849503,76.81450237857786,86.76915274424375,,,61.346775422171504,77.33708113884794,
Spain,38.95363920265549,,,25.002451762932722,,,59.59324127953622,90.39259548875476,96.22526206973066,42.707758694073064,91.82837105189353,93.8022856368106,40.26176370537053,73.9215765643201,31.143465663215775,98.81932410789996,40.55749769800193,31.483056968205545
Argentina,80.22522831501013,35.3456951892134,,70.38693052325226,98.63742983546483,,31.88543246575788,,68.84330426630278,,68.15412052389274,51.09789066494213,26.652950076760018,76.180190549705,78.61550207769682,48.67604688740364,53.80383417756972,65.41948977446398
